dataset,class_name,few_shot,resize,imagesize,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc,object_hit_rate,object_miss_rate,object_over_rate,avg_inference_time_ms_per_image,peak_gpu_memory_mb,num_test_images,results_csv
srs,srs,1,256,224,0.6699751861042184,0.9160241344969109,0.9115354930007993,0.2799575821845175,0.7200424178154825,0.687875150060024,63.11126658442899,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_1_224\few_shot_summary_224\224x224\shot_1_0\results.csv
srs,srs,2,256,224,0.7114444695089858,0.9170394131121031,0.9117871390763281,0.24602332979851538,0.7539766702014846,0.6567607726597325,65.87821717828575,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_2_224\few_shot_summary_224\224x224\shot_2_0\results.csv
srs,srs,3,256,224,0.902511467027596,0.9319817498684531,0.9229167638722316,0.2704135737009544,0.7295864262990456,0.47578947368421054,68.44458258060654,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_3_224\few_shot_summary_224\224x224\shot_3_0\results.csv
srs,srs,4,256,224,0.9214602601699375,0.9400480143349446,0.9310265603530049,0.3117709437963945,0.6882290562036055,0.3694690265486726,64.62314844893865,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_4_224\few_shot_summary_224\224x224\shot_4_0\results.csv
srs,srs,5,256,224,0.8993909316489962,0.9326390359219254,0.9228037676410784,0.30965005302226933,0.6903499469777307,0.3056234718826406,63.99107374682097,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_5_224\few_shot_summary_224\224x224\shot_5\results.csv
srs,srs,6,256,224,0.8890518084066472,0.9383915711903846,0.9291805319808929,0.3064687168610817,0.6935312831389183,0.27906976744186046,65.07967613434069,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_6_224\few_shot_summary_224\224x224\shot_6\results.csv
srs,srs,7,256,224,0.9093916835852319,0.9342923229923974,0.9251781767156317,0.28844114528101805,0.711558854718982,0.30971128608923887,65.87189713744156,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_7_224\few_shot_summary_224\224x224\shot_7_0\results.csv
srs,srs,8,256,224,0.8985638017896084,0.9430940519279617,0.9340305182381113,0.2841993637327678,0.7158006362672322,0.31117021276595747,131.87608973768835,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_8_224\few_shot_summary_224\224x224\shot_8\results.csv
srs,srs,9,256,224,0.9087901345965862,0.9435780727607097,0.9344312735596556,0.2799575821845175,0.7200424178154825,0.3005464480874317,274.76187088434546,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_9_224\few_shot_summary_224\224x224\shot_9\results.csv
srs,srs,10,256,224,0.903752161816678,0.9464190737739093,0.9374312703822854,0.2841993637327678,0.7158006362672322,0.31016042780748665,302.5621054924664,354.05224609375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\few_shot_10_224\few_shot_summary_224\224x224\shot_10_0\results.csv
